Company Name,Industry,Symbol,Series,ISIN Code,Instrument Token
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042,136427780
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026,128209924
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034,136247044
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010,136442116
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024,128008708
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018,136442372
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,EQ,INE029A01011,128140036
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024,136308228
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01030,128211204
Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026,128022276
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014,136519172
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024,136316932
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023,128031748
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01021,129331204
GAIL (India) Ltd.,OIL & GAS,GAIL,EQ,INE129A01019,136231684
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,EQ,INE047A01021,128076804
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027,136263940
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01034,128046084
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE,EQ,INE795G01014,138438916
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026,128046596
Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020,128112644
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027,128178180
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,EQ,INE001A01036,128002564
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021,136236548
ITC Ltd.,CONSUMER GOODS,ITC,EQ,INE154A01025,128224004
Indian Oil Corporation Ltd.,OIL & GAS,IOC,EQ,INE242A01010,135927044
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012,136239876
Infosys Ltd.,IT,INFY,EQ,INE009A01021,128053508
JSW Steel Ltd.,METALS,JSWSTEEL,EQ,INE019A01038,128058372
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028,128063236
Larsen & Toubro Ltd.,CONSTRUCTION,LT,EQ,INE018A01030,128130564
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,EQ,INE101A01026,128133124
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,EQ,INE585B01010,136320004
NTPC Ltd.,POWER,NTPC,EQ,INE733E01010,136334084
Nestle India Ltd.,CONSUMER GOODS,NESTLEIND,EQ,INE239A01016,128202244
Oil & Natural Gas Corporation Ltd.,OIL & GAS,ONGC,EQ,INE213A01029,128079876
Power Grid Corporation of India Ltd.,POWER,POWERGRID,EQ,INE752E01010,136421892
Reliance Industries Ltd.,OIL & GAS,RELIANCE,EQ,INE002A01018,128083204
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE,EQ,INE123W01016,138424068
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,EQ,INE070A01015,128099076
State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020,128028676
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,EQ,INE044A01036,134327044
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029,136330244
Tata Motors Ltd.,AUTOMOBILE,TATAMOTORS,EQ,INE155A01022,128145924
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012,128120324
Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036,136385284
Titan Company Ltd.,CONSUMER GOODS,TITAN,EQ,INE280A01028,128029188
UPL Ltd.,FERTILISERS & PESTICIDES,UPL,EQ,INE628A01036,131089924
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,EQ,INE481G01011,136329732
Wipro Ltd.,IT,WIPRO,EQ,INE075A01022,129967364
