Company Name,Industry,Symbol,Series,ISIN Code,Open,High,Low,Close,Volume
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042,611.65,611.65,611.65,611.65,170
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026,2493,2493,2493,2493,0
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034,749.95,749.95,749.95,749.95,30
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010,4156.7,4156.7,4156.7,4156.7,0
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024,5560.5,5560.5,5560.5,5560.5,0
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018,10234.45,10234.45,10234.45,10234.45,0
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,EQ,INE029A01011,420.1,420.1,420.1,420.1,0
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024,592,592.35,592,592.35,3727
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01030,3450.65,3450.65,3450.65,3450.65,0
Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026,858.25,858.25,858.25,858.25,0
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014,134,134,133.9,133.9,12
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024,3741,3741,3741,3741,0
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023,4831.45,4831.45,4831.45,4831.45,0
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01021,2785.8,2785.8,2785.5,2785.8,4
GAIL (India) Ltd.,OIL & GAS,GAIL,EQ,INE129A01019,133.85,133.85,133.85,133.85,0
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,EQ,INE047A01021,1244.55,1244.95,1244.55,1244.95,5
HCL Technologies Ltd.,IT,HCLTECH,EQ,INE860A01027,975.5,975.5,975.5,975.5,94
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,EQ,INE040A01034,1586.15,1586.15,1586.15,1586.15,8
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE,EQ,INE795G01014,717.9,717.9,717.55,717.55,12
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,EQ,INE158A01026,3542.3,3542.3,3540,3540,5
Hindalco Industries Ltd.,METALS,HINDALCO,EQ,INE038A01020,292.85,292.85,292.75,292.85,30
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,EQ,INE030A01027,2254.65,2254.65,2254.65,2254.65,1
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,EQ,INE001A01036,2794.2,2794.2,2794.2,2794.2,17
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,EQ,INE090A01021,638.45,638.45,637.8,637.8,1100
ITC Ltd.,CONSUMER GOODS,ITC,EQ,INE154A01025,218.5,218.6,218.5,218.55,3198
Indian Oil Corporation Ltd.,OIL & GAS,IOC,EQ,INE242A01010,95.35,95.35,95.35,95.35,0
IndusInd Bank Ltd.,FINANCIAL SERVICES,INDUSINDBK,EQ,INE095A01012,1055.5,1055.5,1055,1055.05,370
Infosys Ltd.,IT,INFY,EQ,INE009A01021,1311.4,1311.4,1311.2,1311.2,340
JSW Steel Ltd.,METALS,JSWSTEEL,EQ,INE019A01038,410.5,410.5,410.5,410.5,0
Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028,1964.55,1964.55,1963.65,1963.65,47
Larsen & Toubro Ltd.,CONSTRUCTION,LT,EQ,INE018A01030,1534.3,1534.3,1534.3,1534.3,0
Mahindra & Mahindra Ltd.,AUTOMOBILE,M&M,EQ,INE101A01026,909.6,910.1,909.6,910.1,25
Maruti Suzuki India Ltd.,AUTOMOBILE,MARUTI,EQ,INE585B01010,7623.65,7623.65,7622.55,7622.55,40
NTPC Ltd.,POWER,NTPC,EQ,INE733E01010,95.05,95.05,94.9,94.9,1766
Nestle India Ltd.,CONSUMER GOODS,NESTLEIND,EQ,INE239A01016,17420.3,17428.95,17420.3,17428.95,4
Oil & Natural Gas Corporation Ltd.,OIL & GAS,ONGC,EQ,INE213A01029,97.6,97.65,97.6,97.65,468
Power Grid Corporation of India Ltd.,POWER,POWERGRID,EQ,INE752E01010,212.05,212.05,211.9,211.9,515
Reliance Industries Ltd.,OIL & GAS,RELIANCE,EQ,INE002A01018,2052.4,2053.1,2051.65,2052.4,883
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE,EQ,INE123W01016,905.95,905.95,905.3,905.3,50
